,dist1,dist2,dist3,dist4,dist5
388,1.79,5.64,6.709999999999999,3.46,5.64
389,2.11,6.709999999999999,1.79,2.11,2.61
390,3.46,2.22,1.79,9999.0,2.11
391,2.11,17.27,2.22,1.79,6.709999999999999
392,5.64,2.11,6.709999999999999,9999.0,1.79
393,2.61,2.22,2.22,5.64,9999.0
394,5.64,2.22,9999.0,17.27,2.61
395,6.709999999999999,17.27,2.11,5.64,2.22
396,2.22,1.39,1.79,9999.0,9999.0
397,2.11,5.64,2.11,1.39,2.61
398,5.64,2.11,9999.0,6.709999999999999,1.79
399,9999.0,2.11,1.79,2.61,1.39
400,5.4,8.059999999999999,4.93,6.83,3.97
401,0.0,5.4,14.44,4.93,6.83
402,6.83,4.93,14.44,5.24,5.4
403,2.8099999999999996,1.41,3.9699999999999998,5.18,3.3099999999999996
404,2.8099999999999996,1.41,3.9699999999999998,1.41,3.3099999999999996
405,7.76,3.44,2.89,2.41,3.44
406,1.67,0.5,1.42,1.63,1.14
407,1.67,0.5,1.14,0.88,2.1
408,1.63,1.67,1.67,2.15,2.1
409,0.88,1.67,1.63,0.5,1.67
410,1.67,1.63,1.14,0.88,1.67
411,1.67,1.42,0.88,1.14,1.67
412,12.34,19.85,21.26,28.679999999999996,14.11
413,1.67,2.15,0.88,0.88,0.5
414,0.88,1.42,2.1,0.5,1.42
415,3.7800000000000002,14.44,5.24,8.059999999999999,8.1
416,17.72,11.08,17.57,12.34,18.729999999999997
417,12.4,9.66,11.43,14.569999999999999,16.21
418,1.63,1.14,1.63,2.15,2.1
419,2.15,1.42,1.14,0.88,1.67
420,1.42,2.1,1.67,0.5,0.88
421,9.709999999999999,6.85,9.709999999999999,19.8,22.830000000000002
422,3.03,9999.0,9999.0,3.03,2.55
423,6.56,4.44,9999.0,2.07,9999.0
424,9999.0,4.44,0.0,0.0,3.03
425,2.8099999999999996,1.41,3.9699999999999998,5.18,3.3099999999999996
426,2.8099999999999996,1.41,3.9699999999999998,3.9699999999999998,3.3099999999999996
427,22.830000000000002,6.85,9.709999999999999,19.8,22.830000000000002
428,4.54,9999.0,0.0,6.829999999999999,5.17
429,0.0,9999.0,9999.0,9999.0,9.36
430,9.36,9999.0,6.829999999999999,5.93,6.829999999999999
431,9999.0,6.56,2.55,8.81,3.03
432,6.709999999999999,9999.0,9999.0,2.61,17.27
433,2.61,9999.0,6.709999999999999,1.39,3.46
434,4.54,11.96,12.019999999999998,3.29,9999.0
435,5.67,6.829999999999999,6.829999999999999,0.0,11.96
436,0.0,9.659999999999998,19.97,1.9,5.17
437,2.16,0.0,3.75,2.16,9.43
438,2.16,0.0,2.16,9999.0,9.43
439,9999.0,9999.0,2.07,3.03,1.99
440,6.56,8.81,2.55,9999.0,2.07
441,2.5700000000000003,3.46,1.53,0.8,2.84
442,1.59,0.0,2.1799999999999997,2.8,5.209999999999999
443,1.59,5.209999999999999,2.1799999999999997,2.8,5.209999999999999
444,1.59,0.0,2.8,2.8,5.209999999999999
445,1.59,0.0,2.1799999999999997,2.1799999999999997,5.209999999999999
446,0.0,0.0,2.1799999999999997,2.8,5.209999999999999
447,1.59,1.59,2.1799999999999997,2.8,5.209999999999999
448,1.59,0.0,2.1799999999999997,2.8,5.209999999999999
449,1.73,9999.0,1.73,10.34,0.0
450,0.0,1.73,10.34,18.52,9999.0
451,3.77,0.0,1.73,1.73,9999.0
452,0.0,13.809999999999999,8.88,6.38,0.0
453,4.47,8.92,9999.0,0.0,6.99
454,3.33,6.99,3.76,9999.0,9.459999999999999
455,7.92,3.33,0.0,0.0,5.71
456,0.0,13.809999999999999,6.38,3.76,9.459999999999999
457,3.76,0.0,9999.0,9.459999999999999,4.47
458,2.15,2.1,1.42,2.15,1.67
459,0.5,1.63,2.1,1.67,0.88
460,2.15,0.5,1.63,2.1,1.14
461,0.8,2.84,3.1,9999.0,2.84
462,5.2,2.34,2.21,2.84,1.53
463,10.139999999999999,0.0,6.369999999999999,9999.0,10.139999999999999
464,10.139999999999999,0.0,10.139999999999999,9999.0,16.43
465,2.21,2.34,2.5700000000000003,3.1,0.62
466,3.1,3.1,8.7,5.2,1.53
467,3.6900000000000004,0.8,3.1,1.9300000000000002,0.62
468,8.299999999999999,1.73,3.29,11.259999999999998,8.67
469,9999.0,9999.0,9999.0,9999.0,9999.0
470,2.6,5.89,2.6,1.18,4.21
471,0.0,5.89,0.0,1.18,4.21
472,2.6,5.89,0.0,1.18,4.21
473,2.6,5.89,0.0,1.18,4.21
474,2.6,5.89,4.21,1.18,4.21
475,2.6,5.89,2.6,1.18,4.21
476,0.99,9.29,3.06,5.739999999999999,5.199999999999999
477,2.17,2.17,4.3,3.86,5.199999999999999
478,4.37,9999.0,5.12,0.0,8.34
479,11.79,3.04,3.04,2.09,8.34
480,2.09,0.0,3.46,3.04,4.37
481,9999.0,2.09,3.04,1.66,11.28
482,6.27,9.18,2.08,2.08,8.34
483,2.09,6.27,3.46,6.27,9.18
484,3.0700000000000003,9.05,0.0,0.0,8.19
485,4.16,9.05,4.16,0.0,8.19
486,3.0700000000000003,9.05,4.16,8.19,8.19
487,9999.0,9999.0,9999.0,9999.0,9999.0
488,9.62,8.760000000000002,9999.0,2.16,9999.0
489,0.0,8.2,5.300000000000001,9999.0,2.29
490,10.27,10.170000000000002,5.300000000000001,9999.0,12.549999999999999
491,5.300000000000001,2.16,8.6,10.27,9.62
492,1.32,10.27,2.41,2.16,5.24
493,2.16,9.62,12.070000000000002,9999.0,9999.0
494,9999.0,9999.0,9999.0,2.16,13.87
495,9999.0,8.2,2.16,2.41,9999.0
496,2.86,1.32,9999.0,8.850000000000001,0.0
497,12.549999999999999,0.0,0.0,13.299999999999999,9999.0
498,12.91,7.91,15.94,14.72,4.85
499,10.84,6.17,15.94,6.17,14.72
500,2.08,4.24,6.27,11.79,3.04
501,3.0700000000000003,9.05,4.16,0.0,8.19
502,19.97,8.139999999999999,8.139999999999999,5.67,4.54
503,8.139999999999999,4.54,12.019999999999998,3.29,6.829999999999999
504,1.9,19.97,9999.0,5.93,9.659999999999998
505,8.299999999999999,4.37,2.09,8.34,5.12
506,15.98,17.409999999999997,3.8,8.03,19.59
507,5.199999999999999,3.86,5.739999999999999,3.54,0.99
508,3.06,0.99,3.54,2.13,5.739999999999999
509,2.17,0.99,2.19,5.739999999999999,5.199999999999999
510,5.739999999999999,2.13,3.06,5.739999999999999,3.54
511,5.739999999999999,2.19,4.3,9.29,3.54
512,3.46,3.04,8.299999999999999,8.299999999999999,9999.0
513,12.070000000000002,2.41,9999.0,8.850000000000001,10.170000000000002
514,5.300000000000001,9999.0,10.27,1.32,13.299999999999999
515,9.2,1.32,9999.0,2.16,13.299999999999999
516,9999.0,5.300000000000001,9999.0,5.300000000000001,0.0
517,13.87,2.29,8.6,1.32,5.24
518,1.32,8.6,13.87,9999.0,2.86
519,10.170000000000002,1.32,9999.0,12.070000000000002,9.2
520,13.299999999999999,0.0,9999.0,8.760000000000002,10.170000000000002
521,6.14,9999.0,5.57,9999.0,4.029999999999999
522,7.07,5.89,5.57,19.03,4.260000000000001
523,4.029999999999999,4.029999999999999,5.57,4.709999999999999,9999.0
524,19.03,5.51,6.14,5.51,2.8099999999999996
525,9999.0,2.86,5.51,5.57,7.07
526,2.8099999999999996,4.029999999999999,2.86,5.57,5.89
527,13.87,0.0,2.16,12.549999999999999,9999.0
528,13.299999999999999,10.170000000000002,2.41,10.27,9999.0
529,12.549999999999999,8.2,2.41,2.86,4.69
530,5.93,7.02,1.77,6.79,4.83
531,6.33,5.84,9999.0,5.1899999999999995,5.84
